NOME_PRODUTO,QUANTIDADE,COD_CLIENTE,COD_PRODUTO
"TELEVISOR SMART 50"" 50P8M 4K UHD BLT SEMP TCL",3.0,62,37
PEN DRIVE 8GB PD587 TWIST PRETO              ,3.0,63,33
PEN DRIVE SONY R 8GB USMRGR                  ,3.0,64,8
PEN DRIVE MC162 2X1 LEITOR USB SD 16GB       ,3.0,65,38
RECEPTOR MIDIA BOX HDTV B3                   ,3.0,66,4
SUPORTE PRETO TV LCD 10 A 55 BR ART SBRP130  ,3.0,67,39
SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    ,3.0,68,1
RECEPTOR MIDIA BOX HDTV B3                   ,3.0,69,4
SMARTPHONE SAMSUNG GAL A10  A105 32GB PRETO  ,3.0,70,40
SUPORTE UNIV. BEDIN BU-25                    ,3.0,71,2
DVD D-15 KARAOKE MONDIAL                     ,3.0,11,13
RECEPTOR MIDIA BOX HDTV B3                   ,3.0,72,4
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,21.0,3,6
SUPORTE UNIV. BEDIN BU-25                    ,20.0,23,2
RECEPTOR MIDIA BOX HDTV B3                   ,20.0,5,4
RECEPTOR MIDIA BOX HDTV B3                   ,20.0,22,4
SMARTPHONE SAMSUNG GAL A10S 32GB VERMELHO    ,2.0,73,41
SMARTPHONE LG K9 TV LM-X210BMW PRETO         ,2.0,74,30
DVD D-15 KARAOKE MONDIAL                     ,2.0,75,13
SMARTPHONE SAMSUNG GAL A10S 32GB AZUL        ,2.0,76,32
"TELEVISOR SMART 50"" UHD BT UN50RU7100 SAMSUNG",2.0,77,42
TABLET NB706 MINI MS50L PRETO/GRAFIT         ,2.0,78,43
CELULAR BLU JENNY 2.8 T276 DB PRETO-AZUL     ,2.0,79,44
"TELEVISOR SMART 43"" UN43J5290 SAMSUNG        ",2.0,80,45
SMARTPHONE MOTOROLA MOTO E6 PLAY 32GB CINZA  ,2.0,81,46
PEN DRIVE 8GB PD587 TWIST PRETO              ,2.0,82,33
SMARTPHONE LG K11 PLUS DB PRETO              ,2.0,83,47
SMARTPHONE SAMSUNG GAL A10  A105 32GB AZUL   ,2.0,84,48
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,85,6
"TELEVISOR SMART 49"" UN49J5200 SAMSUNG        ",2.0,85,49
PEN DRIVE 8GB PD587 TWIST PRETO              ,2.0,86,33
CAIXA AMPLIFICADA CM-09 CONNECT DJ CONTROLLER,2.0,87,16
"TELEVISOR SMART 32"" UN32J4290 SAMSUNG        ",2.0,88,50
RECEPTOR MIDIA BOX HDTV B3                   ,2.0,89,4
CAIXA AMPLIFICADA CM-07 MONDIAL              ,2.0,25,51
TABLET NB720 MINI MS45 4G PRETO              ,2.0,90,52
RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       ,2.0,23,53
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,91,6
SMARTPHONE SAMSUNG GAL A30 A305 64GB PRETO   ,2.0,92,54
SUPORTE UNIV. BEDIN BU-25                    ,2.0,93,2
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,94,6
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,95,6
SUPORTE UNIV. BEDIN BU-25                    ,2.0,96,2
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,97,6
RADIO NBX-06 CONECT STAR MONDIAL             ,2.0,98,55
TABLET NB706 MINI MS50L PRETO/GRAFIT         ,2.0,99,43
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,100,6
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,101,6
PEN DRIVE MC161 2X1 LEITOR USB SD 8G         ,2.0,102,56
ROTEADOR RE160 300 MBPS NOVO (05)            ,2.0,5,18
ANTENA 1.70 MT MULTIPONTO CENTURY            ,2.0,5,3
ANTENA 1.70 MT MULTIPONTO CENTURY            ,2.0,103,3
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    ,2.0,104,21
CELULAR INFINITY W201 PRETO                  ,2.0,105,57
SMARTPHONE SAMSUNG GAL A20  A205 32GB PRETO  ,2.0,106,58
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    ,2.0,107,25
CELULAR RIU FLIP 2.4 DB DOURADO              ,2.0,108,59
SMARTPHONE LG K40S LMX430 BMW PRETO          ,2.0,108,60
PEN DRIVE SONY R 8GB USMRGR                  ,2.0,109,8
ROTEADOR RE160 300 MBPS NOVO (05)            ,2.0,36,18
DVD D-15 KARAOKE MONDIAL                     ,2.0,36,13
BOOMBOX BX-19 BIVOLT UP DYNAMIC              ,2.0,36,61
CAIXA DE SOM AMPLIF.TROLLEY 8 POL SP329      ,2.0,36,27
SMARTPHONE MOTOROLA MOTO E6 PLAY 32GB AZUL   ,2.0,110,62
