NOME_PRODUTO,QUANTIDADE,COD_CLIENTE,COD_PRODUTO
SMARTPHONE SAMSUNG GAL A10  A105 32GB PRETO  ,1.0,1578,40
SMARTPHONE SAMSUNG GAL A20  A205 32GB PRETO  ,1.0,1578,58
"TELEVISOR 40"" 40S6500FS HD LED SEMP TCL      ",1.0,1579,155
"TELEVISOR SMART 43"" UN43J5290 SAMSUNG        ",1.0,1580,45
RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       ,1.0,1581,53
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1582,6
KIT AUTOMOTIVO AU 953 MP3+4 ALTO FALANTES    ,1.0,1583,221
SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    ,1.0,1584,1
"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       ",1.0,1584,79
"TELEVISOR SMART 43"" 43S5300 HD BLUET SEMP TCL",1.0,1585,90
SMARTPHONE MOTOROLA MOTO G8 PLAY 32GB PT ONIX,1.0,1586,124
PEN DRIVE 8GB PD587 TWIST PRETO              ,1.0,1587,33
SMARTPHONE LG K12 PLUS PLATINUM              ,1.0,1588,209
SMARTPHONE SAMSUNG GAL A10  A105 32GB PRETO  ,1.0,1589,40
SMARTPHONE SAMSUNG GAL A10  A105 32GB PRETO  ,1.0,1590,40
TABLET NB247 M9-3G QC PRETO                  ,1.0,1591,36
TABLET NB732 MINI MS50X PRETO                ,1.0,1592,22
SMARTPHONE SAMSUNG GAL A51 128GB BRANCO      ,1.0,1593,130
SMARTPHONE SAMSUNG GAL J4 CORE 16GB PRETO    ,1.0,1594,31
CELULAR BLU TANK II T193 DB PRETO AZUL       ,1.0,1595,136
SMARTPHONE MOTOROLA MOTO G8 64GB BLUE        ,1.0,130,233
AUTO RADIO AR-06 PRETO                       ,1.0,1596,17
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1597,6
"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       ",1.0,1597,79
"TELEVISOR SMART 40"" TC40FS600B PANASONIC     ",1.0,1598,72
"TELEVISOR SMART 32"" 32S5300 HD BLUET SEMP TCL",1.0,1599,89
TABLET NB710 MS60 PRETO/PRATA MULTILASER     ,1.0,1600,104
TABLET NB720 MINI MS45 4G PRETO              ,1.0,1600,52
SMARTPHONE SAMSUNG GAL A10  A105 32GB VERMELH,1.0,1601,160
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1602,6
"TELEVISOR SMART 32"" TC32FS500B PANASONIC     ",1.0,1602,12
"TELEVISOR SMART 32"" UN32J4290 SAMSUNG        ",1.0,1603,50
SMARTPHONE SAMSUNG GAL A10  A105 32GB AZUL   ,1.0,1604,48
"TELEVISOR SMART 32"" TC32FS500B PANASONIC     ",1.0,1605,12
CELULAR INFINITY W201 PRETO                  ,1.0,1606,57
PEN DRIVE 16GB PD588 TWIST PRETO             ,1.0,1607,77
SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    ,1.0,1608,1
CELULAR SEMP GO 1E 2G COM BASE PRETO         ,1.0,1609,115
TABLET NB730 MINI MS50G PRATA/PRETO          ,1.0,1610,10
SMARTPHONE SAMSUNG GAL A30S 64GB BRANCO      ,1.0,1611,125
PEN DRIVE SONY R 8GB USMRGR                  ,1.0,1612,8
SMARTPHONE SAMSUNG GAL J6 32GB PRATA         ,1.0,1613,145
SMARTPHONE SAMSUNG GAL A20  A205 32GB PRETO  ,1.0,1613,58
SMARTPHONE SAMSUNG GAL A30 A305 64GB PRETO   ,1.0,1613,54
"TELEVISOR SMART 32"" 32S5300 HD BLUET SEMP TCL",1.0,1613,89
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    ,1.0,1614,25
SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    ,1.0,1614,1
SMARTPHONE MOTOROLA MOTO G8 PLAY 32GB PT ONIX,1.0,1614,124
SMARTPHONE SAMSUNG GAL A20  A205 32GB VERM   ,1.0,1615,80
SMARTPHONE SAMSUNG GAL J6 PLUS 32GB PRATA    ,1.0,1616,118
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    ,1.0,1617,21
CONJ.SC-UA3LB-K PANASONIC                    ,1.0,1618,234
CONJ.SC-UA3LB-K PANASONIC                    ,1.0,1619,234
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1620,6
SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    ,1.0,1621,1
SMARTPHONE LG K8 PLUS PLATINUM               ,1.0,1621,113
TABLET NB732 MINI MS50X PRETO                ,1.0,1622,22
"TELEVISOR SMART 32"" TC32FS500B PANASONIC     ",1.0,1623,12
SUPORTE UNIV. BEDIN BU-25                    ,1.0,1623,2
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    ,1.0,1624,25
RECEPTOR MIDIA BOX HDTV B3                   ,1.0,1625,4
"TELEVISOR SMART 32"" TC32FS500B PANASONIC     ",1.0,1625,12
CONJ.SC-AKX220LBK PANASONIC                  ,1.0,1626,171
"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       ",1.0,1627,79
SMARTPHONE SAMSUNG GAL A10  A105 32GB VERMELH,1.0,1628,160
SMARTPHONE SAMSUNG GAL A20  A205 32GB VERM   ,1.0,1628,80
"TELEVISOR SMART 43"" UN43J5290 SAMSUNG        ",1.0,1629,45
SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    ,1.0,1630,1
CELULAR INFINITY W201 PRETO                  ,1.0,1630,57
TABLET NB732 MINI MS50X PRETO                ,1.0,1631,22
"TELEVISOR SMART 40"" KDL-40W655D SONY         ",1.0,1632,103
PEN DRIVE 16GB PD588 TWIST PRETO             ,1.0,1633,77
PEN DRIVE 8GB PD587 TWIST PRETO              ,1.0,1633,33
SMARTPHONE LG K40S LMX430 BMW AZUL           ,1.0,1634,108
CAIXA AMPLIFICADA CM-13 BIVOLT BLUETOOTH     ,1.0,1635,26
SMARTPHONE SAMSUNG GAL A20S 32GB AZUL        ,1.0,1636,96
SMARTPHONE SAMSUNG GAL A30  A305 64GB BRANCO ,1.0,1637,65
SMARTPHONE LG K9 TV LM-X210BMW INDIGO        ,1.0,1638,7
SMARTPHONE MOTOROLA MOTO G7 PLAY XT1952-5 DR ,1.0,1639,143
"TELEVISOR SMART 43"" 4K 43UJ6565 LG           ",1.0,1640,235
SMARTPHONE SAMSUNG GAL A10  A105 32GB PRETO  ,1.0,1640,40
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1641,6
CONJ.SC-AKX700LBK SOM 3X1 PANASONIC          ,1.0,1642,198
SMARTPHONE SAMSUNG GALAXY J4 PLUS 32GB PRETO ,1.0,1643,71
"TELEVISOR SMART 40"" TC40FS600B PANASONIC     ",1.0,1644,72
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1645,6
SMARTPHONE SAMSUNG GAL J6 32GB PRATA         ,1.0,1645,145
SMARTPHONE SAMSUNG GAL J4 CORE 16GB PRETO    ,1.0,1646,31
SMARTPHONE SAMSUNG GAL A20S 32GB PRETO       ,1.0,1647,95
PEN DRIVE 32GB PD589 TWIST PRETO             ,1.0,1648,75
"TELEVISOR SMART 32"" UN32J4290 SAMSUNG        ",1.0,1649,50
ROTEADOR RE160 300 MBPS NOVO (05)            ,1.0,1650,18
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1651,6
RECEPTOR MIDIA BOX HDTV B3                   ,1.0,1651,4
"TELEVISOR SMART 43"" PTV43E60SN LED PHILCO    ",1.0,1651,149
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    ,1.0,1652,21
SUPORTE UNIV. BEDIN BU-25                    ,1.0,1653,2
"TELEVISOR SMART 32"" TC32FS500B PANASONIC     ",1.0,1654,12
TABLET NB306 M7 3G PLUS QUAD CORE DOURADA    ,1.0,1655,81
SMARTPHONE SAMSUNG GAL A10  A105 32GB VERMELH,1.0,1656,160
RADIO RECEPTOR RM-PUSM81AC USB               ,1.0,1657,101
SMARTPHONE SAMSUNG GAL A30 A305 64GB PRETO   ,1.0,1658,54
TABLET NB184 M7S QUAD CORE PRETO             ,1.0,1659,35
TABLET NB306 M7 3G PLUS QUAD CORE DOURADA    ,1.0,1659,81
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    ,1.0,1660,25
CELULAR RIU FLIP 2.4 DB BRANCO               ,1.0,1661,197
SMARTPHONE MOTOROLA MOTO G8 PLAY 32GB PT ONIX,1.0,1662,124
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1663,6
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    ,1.0,1664,21
SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    ,1.0,1665,1
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    ,1.0,1666,25
ROTEADOR RE160 300 MBPS NOVO (05)            ,1.0,1667,18
"TELEVISOR SMART 32"" 32S5300 HD BLUET SEMP TCL",1.0,1667,89
TABLET NB273 M7S PLUS 8GB PRETO              ,1.0,1668,201
PEN DRIVE NANO 16GB PD054 PRETO              ,1.0,1669,92
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    ,1.0,1670,21
SMARTPHONE MOTOROLA MOTO ONE MACRO 64GB AZUL ,1.0,1671,210
RADIO RECEPTOR RM-PUSM81AC USB               ,1.0,1672,101
SMARTPHONE SAMSUNG GAL J6 32GB PRATA         ,1.0,1673,145
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1674,6
SMARTPHONE LG K9 TV LM-X210BMW PRETO         ,1.0,1675,30
SMARTPHONE SAMSUNG GAL A30S 64GB BRANCO      ,1.0,1676,125
PEN DRIVE NANO 16GB PD054 PRETO              ,1.0,1677,92
CAIXA AMPLIFICADA CM-07 MONDIAL              ,1.0,1677,51
"TELEVISOR SMART 32"" UN32J4290 SAMSUNG        ",1.0,1678,50
PEN DRIVE SONY MINI METALICO USM16MX 16GB    ,1.0,1679,168
SMARTPHONE SAMSUNG GAL A30S 64GB PRETO       ,1.0,1679,120
SMARTPHONE SAMSUNG GAL A10S 32GB AZUL        ,1.0,1680,32
SMARTPHONE LG K8 PLUS PRETO                  ,1.0,1681,127
CELULAR INFINITY W201 PRETO                  ,1.0,1682,57
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    ,1.0,1683,21
SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    ,1.0,1683,1
"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       ",1.0,1684,79
ROTEADOR RE184 1200MBPS AC DUAL              ,1.0,1685,236
TABLET NB710 MS60 PRETO/PRATA MULTILASER     ,1.0,1686,104
SMARTPHONE LG K9 TV LM-X210BMW PRETO         ,1.0,1687,30
KIT CAPA E PELICULA LG K9TV                  ,1.0,1687,237
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1688,6
"TELEVISOR 43"" 43S6500FS FULL HD SEMP TCL     ",1.0,1688,94
TABLET NB710 MS60 PRETO/PRATA MULTILASER     ,1.0,1689,104
RADIO PORTATIL MULTIBANDA TR849              ,1.0,1690,238
SMARTPHONE SAMSUNG GAL A10  A105 32GB AZUL   ,1.0,1691,48
CARREGADOR VEICULAR USB PTO                  ,1.0,1692,180
SMARTPHONE MOTOROLA MOTO G7 POWER XT1955-1 AZ,1.0,1692,239
"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       ",1.0,1693,79
CELULAR RIU FLIP 2.4 DB VERMELHO             ,1.0,1694,83
SUPORTE UNIV. BEDIN BU-25                    ,1.0,1695,2
SMARTPHONE SAMSUNG GAL J4 CORE 16GB PRETO    ,1.0,1696,31
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1697,6
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    ,1.0,1698,25
CELULAR BLU TANK II T193 DB PRETO VERMELHO   ,1.0,1699,146
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1700,6
DVD D-15 KARAOKE MONDIAL                     ,1.0,1701,13
SMARTPHONE SAMSUNG GAL A10S 32GB AZUL        ,1.0,1702,32
SMARTPHONE SAMSUNG GAL A10S 32GB PRETO       ,1.0,1702,119
TABLET NB730 MINI MS50G PRATA/PRETO          ,1.0,1703,10
SMARTPHONE SAMSUNG GAL A10  A105 32GB PRETO  ,1.0,1703,40
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1704,6
"TELEVISOR 40"" 40S6500FS HD LED SEMP TCL      ",1.0,1704,155
CARREGADOR VEICULAR USB PTO                  ,1.0,1705,180
SMARTPHONE MOTOROLA MOTO ONE DB PRETO        ,1.0,1705,179
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1706,6
SMARTPHONE SAMSUNG GAL A51 128GB BRANCO      ,1.0,1706,130
"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       ",1.0,1707,79
SMARTPHONE SAMSUNG GAL A10  A105 32GB VERMELH,1.0,1708,160
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1709,6
"TELEVISOR SMART 55"" UHD BT UN55RU7100 SAMSUNG",1.0,1709,183
SMARTPHONE MOTOROLA MOTO G7 PLAY XT1952-5 DR ,1.0,1710,143
SMARTPHONE SAMSUNG GAL A10  A105 32GB VERMELH,1.0,1711,160
RADIO RECEPTOR 2 FXS RM PF25 PT              ,1.0,131,34
TABLET NB707 MINI MS50L BRANCO/DOURADO       ,1.0,131,157
CELULAR RIU FLIP 2.4 DB AZUL                 ,1.0,131,105
SMARTPHONE MOTOROLA MOTO E6 PLUS 64GB AZ NET ,1.0,131,162
SMARTPHONE LG K8 PLUS AZUL                   ,1.0,1712,126
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1713,6
PEN DRIVE 32GB PD589 TWIST PRETO             ,1.0,1714,75
"TELEVISOR 43"" 43S6500FS FULL HD SEMP TCL     ",1.0,1715,94
"TELEVISOR SMART 43"" 4K 43UJ6565 LG           ",1.0,1716,235
SMARTPHONE SAMSUNG GAL A10  A105 32GB AZUL   ,1.0,1716,48
CONJ.SC-AKX220LBK PANASONIC                  ,1.0,1717,171
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1718,6
SMARTPHONE SAMSUNG GAL J6 32GB PRATA         ,1.0,1719,145
SMARTPHONE LG K12 MAX PRETO                  ,1.0,1720,66
SMARTPHONE SAMSUNG GAL A10  A105 32GB AZUL   ,1.0,1721,48
SMARTPHONE SAMSUNG GALAXY J4 PLUS 32GB PRETO ,1.0,1722,71
SMARTPHONE SAMSUNG GAL A20S 32GB VERMELHO    ,1.0,1722,74
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1723,6
SMARTPHONE SAMSUNG GAL A10  A105 32GB VERMELH,1.0,1724,160
PEN DRIVE MC162 2X1 LEITOR USB SD 16GB       ,1.0,1725,38
"TELEVISOR SMART 49"" UN49J5290 SAMSUNG        ",1.0,1726,140
SMARTPHONE SAMSUNG GAL A10S 32GB VERMELHO    ,1.0,1726,41
SMARTPHONE MOTOROLA MOTO E6 PLAY 32GB CINZA  ,1.0,1727,46
"TELEVISOR SMART 32"" TC32FS500B PANASONIC     ",1.0,1728,12
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1729,6
TABLET NB297 M7S LITE 8GB BRANCO             ,1.0,1729,202
SUPORTE UNIV. BEDIN BU-25                    ,1.0,1730,2
SMARTPHONE SAMSUNG GAL A10  A105 32GB AZUL   ,1.0,1731,48
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1732,6
PEN DRIVE 16GB PD588 TWIST PRETO             ,1.0,1733,77
ANTENA 1.70 MT MULTIPONTO CENTURY            ,1.0,1734,3
RECEPTOR MIDIA BOX HDTV B3                   ,1.0,1734,4
SMARTPHONE SAMSUNG GAL A20  A205 32GB AZUL   ,1.0,1735,91
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1736,6
"TELEVISOR SMART 40"" TC40FS600B PANASONIC     ",1.0,1737,72
"TELEVISOR SMART 40"" TC40FS600B PANASONIC     ",1.0,1738,72
SMARTPHONE LG K11 PLUS DB DOURADO            ,1.0,1738,161
CAPINHA LG K11                               ,1.0,1738,204
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1739,6
SMARTPHONE SAMSUNG GAL A20  A205 32GB AZUL   ,1.0,1740,91
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1741,6
SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    ,1.0,1742,1
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    ,1.0,1743,21
SMARTPHONE LG K50S 32GB PRETO                ,1.0,1744,128
"TELEVISOR SMART 32"" TC32FS600B PANASONIC     ",1.0,1745,154
TABLET NB730 MINI MS50G PRATA/PRETO          ,1.0,1746,10
DVD D-15 KARAOKE MONDIAL                     ,1.0,1747,13
DVD D-14 GAME STAR II MONDIAL                ,1.0,1748,110
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1748,6
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1749,6
SMARTPHONE SAMSUNG GAL J6 32GB PRETO         ,1.0,1750,240
TABLET NB736 MINI MS50G PRETO                ,1.0,1751,97
SMARTPHONE SAMSUNG GAL A20S 32GB VERMELHO    ,1.0,1751,74
TABLET NB316 M7S 16GB QUAD CORE PRETO        ,1.0,1751,134
SMARTPHONE SAMSUNG GAL A10  A105 32GB AZUL   ,1.0,1752,48
SUPORTE UNIV. BEDIN BU-25                    ,1.0,1753,2
AUTO RADIO AR-06 PRETO                       ,1.0,1754,17
SMARTPHONE LG K9 TV LM-X210BMW DOURADO       ,1.0,1755,68
PEN DRIVE 8GB PD587 TWIST PRETO              ,1.0,1756,33
RECEPTOR MIDIA BOX HDTV B3                   ,1.0,377,4
RADIO RECEPTOR 2 FXS RM PF25 PT              ,1.0,1757,34
RADIO NBX-06 CONECT STAR MONDIAL             ,1.0,1758,55
"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       ",1.0,1759,79
SMARTPHONE SAMSUNG GAL J4 CORE 16GB PRETO    ,1.0,1760,31
"TELEVISOR SMART 32"" UN32J4290 SAMSUNG        ",1.0,1761,50
"TELEVISOR SMART 32"" UN32J4290 SAMSUNG        ",1.0,1762,50
SMARTPHONE SAMSUNG GAL A10  A105 32GB VERMELH,1.0,1763,160
SMARTPHONE SAMSUNG GAL A10  A105 32GB AZUL   ,1.0,1764,48
CELULAR RIU-I R200 DB PRETO-AMARELO          ,1.0,1765,172
SMARTPHONE SAMSUNG GAL A20  A205 32GB PRETO  ,1.0,1766,58
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1767,6
"TELEVISOR 43"" 43S6500FS FULL HD SEMP TCL     ",1.0,1767,94
BOX LINE OCM 4010 DIAMOND PT ONEAL           ,1.0,1768,241
BOX LINE OCM 3915 ONEAL                      ,1.0,1769,223
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    ,1.0,1770,25
DVD D-14 GAME STAR II MONDIAL                ,1.0,134,110
"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       ",1.0,1771,79
SMARTPHONE SAMSUNG GAL A10  A105 32GB AZUL   ,1.0,1772,48
PEN DRIVE 8GB PD587 TWIST PRETO              ,1.0,1773,33
"TELEVISOR 43"" 43S6500FS FULL HD SEMP TCL     ",1.0,1774,94
"TELEVISOR SMART 40"" TC40FS600B PANASONIC     ",1.0,1775,72
TABLET NB184 M7S QUAD CORE PRETO             ,1.0,1776,35
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1777,6
RADIO RECEPTOR RM-PUSM81AC USB               ,1.0,1778,101
PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   ,1.0,1779,242
RADIO RECEPTOR 2 FXS RM PF25 PT              ,1.0,1780,34
SMARTPHONE LG K8 PLUS PRETO                  ,1.0,1781,127
REPETIDOR RE051 300MPS WPS MULTILASER        ,1.0,1782,24
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    ,1.0,1783,21
"TELEVISOR SMART 32"" TC32FS500B PANASONIC     ",1.0,1784,12
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1785,6
"TELEVISOR SMART 43"" UN43J5290 SAMSUNG        ",1.0,1785,45
SMARTPHONE SAMSUNG GAL A10  A105 32GB PRETO  ,1.0,1786,40
SMARTPHONE LG K8 PLUS PRETO                  ,1.0,1786,127
"TELEVISOR SMART 32"" UN32J4290 SAMSUNG        ",1.0,1787,50
TABLET NB711 MS60 DOURADO/BRANCO MULTILASER  ,1.0,1788,196
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1789,6
SMARTPHONE LG K9 TV LM-X210BMW INDIGO        ,1.0,1790,7
SMARTPHONE RIU EKO 4.0 DOURADO               ,1.0,1791,137
SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    ,1.0,1792,1
ROTEADOR RE057 150MBPS 1 ANT.4PTS.LAN        ,1.0,1793,142
SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN,1.0,1794,88
"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       ",1.0,1795,79
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    ,1.0,1796,21
SMARTPHONE LG K11 PLUS DB DOURADO            ,1.0,1797,161
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1798,6
SMARTPHONE MOTOROLA MOTO G7 PLAY XT1952-5 DR ,1.0,1799,143
SMARTPHONE LG K9 TV LM-X210BMW PRETO         ,1.0,1800,30
SMARTPHONE SAMSUNG GAL A10  A105 32GB PRETO  ,1.0,1801,40
TABLET NB720 MINI MS45 4G PRETO              ,1.0,1802,52
SMARTPHONE SAMSUNG GAL J6 32GB PRETO         ,1.0,1803,240
SMARTPHONE SAMSUNG GAL A30 A305 64GB PRETO   ,1.0,1804,54
SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    ,1.0,1805,1
"TELEVISOR SMART 32"" TC32FS500B PANASONIC     ",1.0,1806,12
CELULAR RIU-I R200 DB PRETO-AZUL             ,1.0,1807,150
SMARTPHONE LG K40S LMX430 BMW AZUL           ,1.0,1807,108
RADIO RECEPTOR 5 FXS RM PF34                 ,1.0,1808,29
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1809,6
RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       ,1.0,1810,53
SMARTPHONE LG K9 TV LM-X210BMW PRETO         ,1.0,1811,30
SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    ,1.0,1812,1
TABLET NB184 M7S QUAD CORE PRETO             ,1.0,1813,35
SMARTPHONE SAMSUNG GAL A20  A205 32GB VERM   ,1.0,1814,80
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    ,1.0,1815,21
SMARTPHONE SAMSUNG GAL A30S 64GB BRANCO      ,1.0,1816,125
CARREGADOR VEICULAR USB PTO                  ,1.0,1817,180
SMARTPHONE MOTOROLA MOTO G7 XT1962-4 DB ONIX ,1.0,1817,181
"TELEVISOR 43"" 43S6500FS FULL HD SEMP TCL     ",1.0,1818,94
SMARTPHONE SAMSUNG GAL A10  A105 32GB VERMELH,1.0,1819,160
HOME THEATER HT-07 MONDIAL                   ,1.0,1820,188
TABLET NB710 MS60 PRETO/PRATA MULTILASER     ,1.0,1821,104
SMARTPHONE SAMSUNG GAL A10  A105 32GB VERMELH,1.0,1822,160
"TELEVISOR SMART 48"" KDL-48W655D SONY         ",1.0,1823,147
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1824,6
DVD D-15 KARAOKE MONDIAL                     ,1.0,1825,13
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1826,6
"TELEVISOR SMART 49"" UN49J5290 SAMSUNG        ",1.0,1826,140
SMARTPHONE SAMSUNG GALAXY J4 PLUS 32GB PRETO ,1.0,1826,71
SMARTPHONE SAMSUNG GAL A30S 64GB BRANCO      ,1.0,1826,125
TABLET NB296 M7S LITE 8GB PRETO              ,1.0,1827,63
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    ,1.0,1828,25
SMARTPHONE SAMSUNG GAL A10  A105 32GB PRETO  ,1.0,1829,40
CELULAR BLU TANK II T193 DB PRETO AZUL       ,1.0,1830,136
"TELEVISOR 24"" S1300 L1850 HD LED SEMP TCL    ",1.0,1830,163
PEN DRIVE SONY R 8GB USMRGR                  ,1.0,1831,8
SMARTPHONE SAMSUNG GAL J4 CORE 16GB PRETO    ,1.0,1832,31
AUTO RADIO DEH-S1180UB                       ,1.0,1832,194
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1833,6
"TELEVISOR SMART 32"" 32S5300 HD BLUET SEMP TCL",1.0,1833,89
SMARTPHONE SAMSUNG GAL A10  A105 32GB PRETO  ,1.0,1834,40
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    ,1.0,1835,25
CELULAR INFINITY W201 PRETO                  ,1.0,1836,57
CELULAR RIU FLIP 2.4 DB DOURADO              ,1.0,1837,59
PEN DRIVE 32GB PD589 TWIST PRETO             ,1.0,1838,75
SMARTPHONE LG K40S LMX430 BMW AZUL           ,1.0,1839,108
CELULAR RIU FLIP 2.4 DB VERMELHO             ,1.0,1840,83
SMARTPHONE SAMSUNG GAL A30  A305 64GB BRANCO ,1.0,1841,65
SMARTPHONE SAMSUNG GAL A10S 32GB VERMELHO    ,1.0,1842,41
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    ,1.0,1843,25
SMARTPHONE SAMSUNG GAL A20S 32GB VERMELHO    ,1.0,1844,74
"TELEVISOR SMART 43"" UN43J5290 SAMSUNG        ",1.0,1845,45
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,135,6
DVD D-15 KARAOKE MONDIAL                     ,1.0,1846,13
SMARTPHONE SAMSUNG GAL A30S 64GB BRANCO      ,1.0,1847,125
CAIXA ACUSTICA PHT3000 PHILCO                ,1.0,1848,243
SMARTPHONE LG K12 PLUS PRETO                 ,1.0,1849,122
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1850,6
TABLET NB730 MINI MS50G PRATA/PRETO          ,1.0,1851,10
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1852,6
"TELEVISOR SMART 32"" UN32J4290 SAMSUNG        ",1.0,1852,50
"TELEVISOR SMART 32"" 32S5300 HD BLUET SEMP TCL",1.0,1853,89
TABLET NB296 M7S LITE 8GB PRETO              ,1.0,1854,63
SMARTPHONE SAMSUNG GAL A10  A105 32GB VERMELH,1.0,1855,160
SMARTPHONE SAMSUNG GAL A20  A205 32GB PRETO  ,1.0,1856,58
PEN DRIVE 8GB PD587 TWIST PRETO              ,1.0,1857,33
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,1.0,1858,6
"TELEVISOR SMART 32"" 32S5300 HD BLUET SEMP TCL",1.0,1858,89
"TELEVISOR SMART 43"" UN43J5290 SAMSUNG        ",1.0,1859,45
RADIO PORTATIL MULTIBANDA TR849              ,1.0,1860,238
